Count,Name,Edition,Card Number,Foil,Price
1,Seismic Stomp,Magic 2014 Core Set,152,,$0.07 
1,Shock,Magic 2014 Core Set,155,,$0.09 
1,Wild Guess,Magic 2014 Core Set,161,,$0.18 
1,Fog,Magic 2014 Core Set,171,,$0.15 
1,Manaweft Sliver,Magic 2014 Core Set,184,,$1.98 
1,Rumbling Baloth,Magic 2014 Core Set,193,,$0.08 
1,Sporemound,Magic 2014 Core Set,196,,$0.12 
1,Rod of Ruin,Magic 2014 Core Set,217,,$0.05 
1,Staff of the Death Magus,Magic 2014 Core Set,219,,$0.21 
1,Staff of the Mind Magus,Magic 2014 Core Set,221,,$0.11 
1,Wind Drake,Dragon's Maze,20,,$0.07 
1,Skyline Predator,Return to Ravnica,50,,$0.08 
1,Hand of Emrakul,Rise of the Eldrazi,5,,$0.21 
2,Not of This World,Rise of the Eldrazi,8,,$2.07 
3,Pathrazer of Ulamog,Rise of the Eldrazi,9,,$4.40 
2,Ulamog's Crusher,Rise of the Eldrazi,13,,$0.28 
2,Demystify,Rise of the Eldrazi,18,,$0.08 
1,Eland Umbra,Rise of the Eldrazi,19,,$0.20 
2,Glory Seeker,Rise of the Eldrazi,22,,$0.05 
1,Kor Line-Slinger,Rise of the Eldrazi,30,,$0.08 
2,Lone Missionary,Rise of the Eldrazi,34,,$0.20 
1,Luminous Wake,Rise of the Eldrazi,35,,$0.16 
1,Makindi Griffin,Rise of the Eldrazi,36,,$0.06 
2,Oust,Rise of the Eldrazi,40,,$0.23 
2,Repel the Darkness,Rise of the Eldrazi,42,,$0.08 
2,Smite,Rise of the Eldrazi,43,,$0.07 
1,Soul's Attendant,Rise of the Eldrazi,44,,$3.70 
1,Stalwart Shield-Bearers,Rise of the Eldrazi,46,,$0.50 
1,Survival Cache,Rise of the Eldrazi,48,,$0.14 
1,Wall of Omens,Rise of the Eldrazi,53,,$0.86 
2,Champion's Drake,Rise of the Eldrazi,56,,$0.08 
1,Crab Umbra,Rise of the Eldrazi,58,,$0.35 
1,Deprive,Rise of the Eldrazi,59,,$0.40 
1,Distortion Strike,Rise of the Eldrazi,60,,$0.37 
1,Eel Umbra,Rise of the Eldrazi,65,,$0.13 
1,Enclave Cryptologist,Rise of the Eldrazi,66,,$0.26 
2,Fleeting Distraction,Rise of the Eldrazi,67,,$0.11 
1,Frostwind Invoker,Rise of the Eldrazi,68,,$0.08 
2,Halimar Wavewatch,Rise of the Eldrazi,72,,$0.15 
3,Jwari Scuttler,Rise of the Eldrazi,73,,$0.11 
1,Merfolk Observer,Rise of the Eldrazi,76,,$0.08 
1,Merfolk Skyscout,Rise of the Eldrazi,77,,$0.10 
1,Phantasmal Abomination,Rise of the Eldrazi,80,,$0.11 
1,Reality Spasm,Rise of the Eldrazi,81,,$2.53 
1,Sea Gate Oracle,Rise of the Eldrazi,85,,$0.18 
1,See Beyond,Rise of the Eldrazi,86,,$0.13 
1,Skywatcher Adept,Rise of the Eldrazi,88,,$0.15 
1,Venerated Teacher,Rise of the Eldrazi,93,,$0.11 
1,Arrogant Bloodlord,Rise of the Eldrazi,94,,$0.13 
1,Bala Ged Scorpion,Rise of the Eldrazi,95,,$0.06 
1,Baneful Omen,Rise of the Eldrazi,96,,$0.66 
2,Bloodrite Invoker,Rise of the Eldrazi,97,,$0.11 
2,Contaminated Ground,Rise of the Eldrazi,102,,$0.11 
1,Curse of Wizardry,Rise of the Eldrazi,104,,$0.24 
2,Demonic Appetite,Rise of the Eldrazi,106,,$0.09 
1,Dread Drone,Rise of the Eldrazi,108,,$0.11 
1,Gloomhunter,Rise of the Eldrazi,111,,$0.08 
1,Hellcarver Demon,Rise of the Eldrazi,113,,$7.72 
1,Induce Despair,Rise of the Eldrazi,114,,$0.08 
1,Last Kiss,Rise of the Eldrazi,116,,$0.08 
1,Nighthaze,Rise of the Eldrazi,118,,$0.17 
2,Nirkana Cutthroat,Rise of the Eldrazi,119,,$0.28 
2,Pestilence Demon,Rise of the Eldrazi,124,,$0.54 
1,Repay in Kind,Rise of the Eldrazi,125,,$1.63 
1,Shrivel,Rise of the Eldrazi,126,,$0.11 
1,Vendetta,Rise of the Eldrazi,130,,$0.20 
1,Zof Shade,Rise of the Eldrazi,132,,$0.07 
1,Zulaport Enforcer,Rise of the Eldrazi,133,,$0.08 
1,Battle Rampart,Rise of the Eldrazi,135,,$0.07 
1,Flame Slash,Rise of the Eldrazi,145,,$0.21 
1,Goblin Tunneler,Rise of the Eldrazi,148,,$0.08 
1,Grotag Siege-Runner,Rise of the Eldrazi,149,,$0.07 
3,Kiln Fiend,Rise of the Eldrazi,153,,$0.15 
1,Lagac Lizard,Rise of the Eldrazi,154,,$0.07 
1,Lust for War,Rise of the Eldrazi,157,,$0.12 
1,Ogre Sentry,Rise of the Eldrazi,159,,$0.07 
2,Raid Bombardment,Rise of the Eldrazi,161,,$0.31 
1,Soulsurge Elemental,Rise of the Eldrazi,163,,$0.10 
2,Spawning Breath,Rise of the Eldrazi,164,,$0.20 
1,Vent Sentinel,Rise of the Eldrazi,171,,$0.11 
1,Ancient Stirrings,Rise of the Eldrazi,174,,$0.24 
1,Bear Umbra,Rise of the Eldrazi,177,,$13.82 
1,Broodwarden,Rise of the Eldrazi,181,,$0.17 
1,Haze Frog,Rise of the Eldrazi,187,,$0.17 
2,Irresistible Prey,Rise of the Eldrazi,188,,$0.13 
1,Kozilek's Predator,Rise of the Eldrazi,193,,$0.14 
1,Leaf Arrow,Rise of the Eldrazi,194,,$0.05 
1,Living Destiny,Rise of the Eldrazi,195,,$0.05 
1,Naturalize,Rise of the Eldrazi,199,,$0.07 
3,Nema Siltlurker,Rise of the Eldrazi,200,,$0.06 
2,Nest Invader,Rise of the Eldrazi,201,,$0.22 
1,Overgrown Battlement,Rise of the Eldrazi,203,,$0.23 
1,Spider Umbra,Rise of the Eldrazi,208,,$0.25 
1,Sporecap Spider,Rise of the Eldrazi,209,,$0.08 
2,Stomper Cub,Rise of the Eldrazi,210,,$0.08 
1,Wildheart Invoker,Rise of the Eldrazi,213,,$0.09 
1,Wildheart Invoker,Rise of the Eldrazi,213,foil,$0.32 
1,Ogre's Cleaver,Rise of the Eldrazi,220,,$0.21 
1,Ogre's Cleaver,Rise of the Eldrazi,220,foil,$0.99 
2,Prophetic Prism,Rise of the Eldrazi,222,,$0.15 
1,Runed Servitor,Rise of the Eldrazi,224,,$0.08 
1,Eldrazi Temple,Rise of the Eldrazi,227,,$6.78 
1,Evolving Wilds,Rise of the Eldrazi,228,,$0.14 
2,Battle Hurda,Worldwake,4,,$0.08 
1,Fledgling Griffin,Worldwake,5,,$0.06 
2,Guardian Zendikon,Worldwake,6,,$0.07 
1,Join the Ranks,Worldwake,9,,$0.12 
1,Kitesail Apprentice,Worldwake,10,,$0.16 
2,Marsh Threader,Worldwake,14,,$0.08 
1,Marshal's Anthem,Worldwake,15,,$0.23 
2,Veteran's Reflexes,Worldwake,23,,$0.09 
1,Aether Tradewinds,Worldwake,24,,$0.08 
2,Dispel,Worldwake,26,,$0.24 
1,Horizon Drake,Worldwake,30,,$0.11 
2,Mysteries of the Deep,Worldwake,33,,$0.09 
1,Quest for Ula's Temple,Worldwake,35,,$10.61 
2,Selective Memory,Worldwake,37,,$0.29 
1,Spell Contortion,Worldwake,38,,$0.14 
2,Tideforce Elemental,Worldwake,41,,$0.23 
1,Treasure Hunt,Worldwake,42,,$0.18 
2,Twitch,Worldwake,43,,$0.11 
3,Wind Zendikon,Worldwake,46,,$0.11 
1,Brink of Disaster,Worldwake,52,,$0.11 
2,Mire's Toll,Worldwake,60,,$0.12 
1,Nemesis Trap,Worldwake,61,,$0.09 
1,Smother,Worldwake,68,,$0.11 
1,Akoum Battlesinger,Worldwake,71,,$0.13 
2,Bull Rush,Worldwake,73,,$0.05 
1,Chain Reaction,Worldwake,74,,$0.43 
2,Claws of Valakut,Worldwake,75,,$0.12 
3,Crusher Zendikon,Worldwake,78,,$0.08 
2,Grotag Thrasher,Worldwake,83,,$0.05 
1,Quest for the Goblin Lord,Worldwake,86,,$0.93 
1,Roiling Terrain,Worldwake,88,,$0.19 
3,Skitter of Lizards,Worldwake,91,,$0.09 
1,Stone Idol Trap,Worldwake,93,,$0.19 
3,Explore,Worldwake,99,,$0.27 
1,Feral Contest,Worldwake,100,,$0.07 
2,Gnarlid Pack,Worldwake,101,,$0.07 
1,Grappler Spider,Worldwake,102,,$0.11 
1,Harabaz Druid,Worldwake,105,,$2.04 
1,Leatherback Baloth,Worldwake,107,,$0.23 
1,Nature's Claim,Worldwake,108,,$0.96 
1,Snapping Creeper,Worldwake,112,,$0.07 
1,Vastwood Animist,Worldwake,116,,$0.11 
1,Vastwood Zendikon,Worldwake,117,,$0.06 
1,Everflowing Chalice,Worldwake,123,,$0.72 
1,Hammer of Ruin,Worldwake,124,,$0.09 
1,Hedron Rover,Worldwake,125,,$0.08 
3,Pilgrim's Eye,Worldwake,128,,$0.10 
1,Walking Atlas,Worldwake,131,,$0.93 
3,Bojuka Bog,Worldwake,132,,$1.27 
2,Quicksand,Worldwake,140,,$0.11 
2,Bold Defense,Zendikar,3,,$0.09 
1,Cliff Threader,Zendikar,7,,$0.08 
1,Journey to Nowhere,Zendikar,14,,$0.62 
1,Kor Aeronaut,Zendikar,17,,$0.18 
1,Kor Cartographer,Zendikar,18,,$0.12 
2,Kor Hookmaster,Zendikar,20,,$0.11 
1,Kor Skyfisher,Zendikar,23,,$0.22 
1,Noble Vestige,Zendikar,29,,$0.06 
1,Shieldmate's Blessing,Zendikar,35,,$0.05 
1,Steppe Lynx,Zendikar,36,,$0.12 
1,Windborne Charge,Zendikar,38,,$0.10 
1,Cancel,Zendikar,44,,$0.08 
2,Into the Roil,Zendikar,48,,$0.14 
1,Ior Ruin Expedition,Zendikar,49,,$0.11 
1,Kraken Hatchling,Zendikar,50,,$0.11 
1,Merfolk Seastalkers,Zendikar,55,,$0.11 
1,Whiplash Trap,Zendikar,77,,$0.08 
1,Windrider Eel,Zendikar,78,,$0.08 
1,Blood Seeker,Zendikar,80,,$0.15 
1,Desecrated Earth,Zendikar,86,,$0.08 
1,Grim Discovery,Zendikar,91,,$0.11 
1,Halo Hunter,Zendikar,96,,$0.22 
1,Vampire Lacerator,Zendikar,115,,$0.11 
1,Burst Lightning,Zendikar,119,,$0.17 
1,Geyser Glider,Zendikar,124,,$0.11 
1,Molten Ravager,Zendikar,138,,$0.06 
1,Seismic Shudder,Zendikar,147,,$0.08 
3,Shatterskull Giant,Zendikar,148,,$0.05 
1,Slaughter Cry,Zendikar,149,,$0.05 
1,Spire Barrage,Zendikar,150,,$0.07 
1,Cobra Trap,Zendikar,160,,$0.11 
2,Harrow,Zendikar,165,,$0.33 
1,Khalni Heart Expedition,Zendikar,167,,$0.21 
1,Quest for the Gemblades,Zendikar,177,,$0.11 
1,Zendikar Farguide,Zendikar,194,,$0.07 
1,Khalni Gem,Zendikar,205,,$0.19 
1,Kazandu Refuge,Zendikar,217,,$0.18 
1,Scalding Tarn,Zendikar,223,,$31.45 
1,Teetering Peaks,Zendikar,226,,$0.11 
1,Nacatl Hunt-Pride,Conflux,13,,$0.14 
1,Esperzoa,Conflux,25,,$0.14 
1,Faerie Mechanist,Conflux,27,,$0.08 
1,Grixis Illusionist,Conflux,29,,$0.10 
1,Absorb Vis,Conflux,40,,$0.11 
1,Yoke of the Damned,Conflux,57,,$0.10 
1,Kranioceros,Conflux,67,,$0.07 
1,Quenchable Fire,Conflux,70,,$0.11 
1,Jhessian Balmgiver,Conflux,112,,$0.14 
1,Valeron Outlander,Conflux,130,,$0.08 
1,Vectis Agents,Conflux,131,,$0.08 
1,Armillary Sphere,Conflux,134,,$0.14 
1,Armored Ascension,Shadowmoor,2,,$0.23 
2,Drowner Initiate,Shadowmoor,36,,$0.18 
2,Crabapple Cohort,Shadowmoor,109,,$0.11 
1,Merrow Witsniper,Morningtide,40,,$0.12 
1,Kindled Fury,Morningtide,92,,$0.06 
2,Neck Snap,Lorwyn,32,,$0.08 
1,Soaring Hope,Lorwyn,40,,$0.08 
1,Ponder,Lorwyn,79,,$2.34 
1,Axegrinder Giant,Lorwyn,151,,$0.08 
2,Flamekin Brawler,Lorwyn,166,,$0.11 
1,Moonglove Extract,Lorwyn,258,,$0.11 
4,Holy Strength,Tenth Edition,22,,$0.09 
4,Honor Guard,Tenth Edition,23,,$0.07 
1,Loxodon Mystic,Tenth Edition,26,,$0.07 
1,Samite Healer,Tenth Edition,38,,$0.08 
2,Skyhunter Prowler,Tenth Edition,42,,$0.11 
2,Steadfast Guard,Tenth Edition,48,,$0.19 
2,Suntail Hawk,Tenth Edition,50,,$0.10 
3,Wild Griffin,Tenth Edition,59,,$0.08 
1,Aven Fisher,Tenth Edition,68,,$0.07 
1,Boomerang,Tenth Edition,70,,$0.22 
1,Cancel,Tenth Edition,71,,$0.10 
1,Lumengrid Warden,Tenth Edition,89,,$0.07 
1,Peek,Tenth Edition,94,,$0.26 
1,Persuasion,Tenth Edition,95,,$0.24 
2,Remove Soul,Tenth Edition,100,,$0.10 
1,Sift,Tenth Edition,108,,$0.07 
1,Anaba Bodyguard,Tenth Edition,187,,$0.09 
1,Beacon of Destruction,Tenth Edition,189,,$0.27 
1,Cryoclasm,Tenth Edition,195,,$0.11 
1,Hill Giant,Tenth Edition,212,,$0.08 
2,Incinerate,Tenth Edition,213,,$0.12 
3,Lightning Elemental,Tenth Edition,217,,$0.05 
2,Shock,Tenth Edition,232,,$0.11 
2,Craw Wurm,Tenth Edition,257,,$0.06 
3,Giant Spider,Tenth Edition,267,,$0.08 
2,Grizzly Bears,Tenth Edition,268,,$0.15 
3,Rampant Growth,Tenth Edition,288,,$0.41 
2,Rootwalla,Tenth Edition,293,,$0.06 
4,Spined Wurm,Tenth Edition,298,,$0.12 
1,Kor Skyfisher,Media Inserts,25,foil,$6.74 
